organisationunitid,organisationunitname,organisationunitcode,periodid,periodname,periodcode,Confirmed Mpox Cases,Mpox Deaths,Notified Mpox Cases
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W37,Week 37 2024-09-09 - 2024-09-15,2024W37,0,0,6
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W38,Week 38 2024-09-16 - 2024-09-22,2024W38,0,0,21
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W39,Week 39 2024-09-23 - 2024-09-29,2024W39,0,1,8
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W40,Week 40 2024-09-30 - 2024-10-06,2024W40,0,0,9
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W41,Week 41 2024-10-07 - 2024-10-13,2024W41,0,0,5
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W42,Week 42 2024-10-14 - 2024-10-20,2024W42,0,0,6
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W43,Week 43 2024-10-21 - 2024-10-27,2024W43,0,0,2
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W44,Week 44 2024-10-28 - 2024-11-03,2024W44,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W45,Week 45 2024-11-04 - 2024-11-10,2024W45,0,0,2
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W47,Week 47 2024-11-18 - 2024-11-24,2024W47,3,0,5
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W49,Week 49 2024-12-02 - 2024-12-08,2024W49,0,0,11
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W1,Week 1 2024-01-01 - 2024-01-07,2024W1,2,0,6
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W2,Week 2 2024-01-08 - 2024-01-14,2024W2,4,0,12
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W3,Week 3 2024-01-15 - 2024-01-21,2024W3,0,0,3
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W4,Week 4 2024-01-22 - 2024-01-28,2024W4,1,0,8
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W5,Week 5 2024-01-29 - 2024-02-04,2024W5,0,0,9
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W6,Week 6 2024-02-05 - 2024-02-11,2024W6,3,0,7
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W7,Week 7 2024-02-12 - 2024-02-18,2024W7,4,0,15
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W8,Week 8 2024-02-19 - 2024-02-25,2024W8,0,0,2
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W9,Week 9 2024-02-26 - 2024-03-03,2024W9,0,0,4
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W10,Week 10 2024-03-04 - 2024-03-10,2024W10,0,0,4
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W11,Week 11 2024-03-11 - 2024-03-17,2024W11,4,0,6
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W12,Week 12 2024-03-18 - 2024-03-24,2024W12,2,0,5
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W13,Week 13 2024-03-25 - 2024-03-31,2024W13,1,0,1
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W14,Week 14 2024-04-01 - 2024-04-07,2024W14,0,0,4
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W15,Week 15 2024-04-08 - 2024-04-14,2024W15,0,0,10
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W16,Week 16 2024-04-15 - 2024-04-21,2024W16,0,0,10
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W17,Week 17 2024-04-22 - 2024-04-28,2024W17,0,0,2
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W18,Week 18 2024-04-29 - 2024-05-05,2024W18,0,0,2
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W19,Week 19 2024-05-06 - 2024-05-12,2024W19,0,0,3
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W20,Week 20 2024-05-13 - 2024-05-19,2024W20,0,0,3
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W21,Week 21 2024-05-20 - 2024-05-26,2024W21,0,0,9
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W22,Week 22 2024-05-27 - 2024-06-02,2024W22,0,0,3
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W23,Week 23 2024-06-03 - 2024-06-09,2024W23,1,0,3
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W24,Week 24 2024-06-10 - 2024-06-16,2024W24,1,0,3
a31zzxmMKCL,Central African Republic,COUNTRY_CAF,2024W25,Week 25 2024-06-17 - 2024-06-23,2024W25,2,0,5
